Date : 2025-06-28 06:37:26
Directory : /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app
Total : 73 files,  4188 codes, 646 comments, 582 blanks, all 5416 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios/Runner/Assets.xcassets                                                                                              |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                           |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                         |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                   |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                         |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                     |         15 |      2,193 |        334 |        187 |      2,714 |
| lib (Files)                                                                                                             |          4 |        840 |          1 |         90 |        931 |
| lib/screens                                                                                                             |         11 |      1,353 |        333 |         97 |      1,783 |
| lib/screens (Files)                                                                                                     |          1 |         23 |          0 |          5 |         28 |
| lib/screens/onboarding                                                                                                  |         10 |      1,330 |        333 |         92 |      1,755 |
| lib/screens/onboarding (Files)                                                                                          |          5 |        875 |        280 |         58 |      1,213 |
| lib/screens/onboarding/onboarding_steps                                                                                 |          5 |        455 |         53 |         34 |        542 |
| linux                                                                                                                   |          9 |        325 |         37 |         92 |        454 |
| linux (Files)                                                                                                           |          1 |        104 |          0 |         25 |        129 |
| linux/flutter                                                                                                           |          4 |        105 |          9 |         27 |        141 |
| linux/runner                                                                                                            |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                                   |          7 |        480 |          6 |         27 |        513 |
| macos (Files)                                                                                                           |          1 |         33 |          1 |         10 |         44 |
| macos/Flutter                                                                                                           |          1 |          6 |          3 |          4 |         13 |
| macos/Runner                                                                                                            |          4 |        434 |          0 |          9 |        443 |
| macos/Runner (Files)                                                                                                    |          2 |         23 |          0 |          7 |         30 |
| macos/Runner/Assets.xcassets                                                                                            |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                 |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                       |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                                    |          1 |          3 |         21 |          7 |         31 |
| web                                                                                                                     |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                                 |         14 |        675 |         94 |        188 |        957 |
| windows (Files)                                                                                                         |          1 |         89 |          0 |         20 |        109 |
| windows/flutter                                                                                                         |          4 |        124 |          9 |         29 |        162 |
| windows/runner                                                                                                          |          9 |        462 |         85 |        139 |        686 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/README.md                                                        | Markdown   |         10 |          0 |          7 |         17 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/analysis_options.yaml                                            | YAML       |          3 |         22 |          4 |         29 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/build.gradle                                         | Groovy     |         32 |          6 |          7 |         45 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/debug/AndroidManifest.xml                        | XML        |          3 |          4 |          1 |          8 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/AndroidManifest.xml                         | XML        |         34 |         11 |          1 |         46 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/drawable-v21/launch_background.xml      | XML        |          4 |          7 |          2 |         13 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/drawable/launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/values-night/styles.xml                 | XML        |          9 |          9 |          1 |         19 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/values/styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/profile/AndroidManifest.xml                      | XML        |          3 |          4 |          1 |          8 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/build.gradle                                             | Groovy     |         16 |          0 |          3 |         19 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/gradle.properties                                        | Properties |          3 |          0 |          1 |          4 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/gradle/wrapper/gradle-wrapper.properties                 | Properties |          5 |          0 |          1 |          6 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/settings.gradle                                          | Groovy     |         21 |          0 |          5 |         26 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/images/logo.svg                                                  | XML        |         15 |          0 |          1 |         16 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Podfile                                                      | Ruby       |         32 |          3 |         10 |         45 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md        | Markdown   |          3 |          0 |          2 |          5 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Base.lproj/LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Base.lproj/Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Runner-Bridging-Header.h                              | C++        |          1 |          0 |          1 |          2 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/RunnerTests/RunnerTests.swift                                | Swift      |          7 |          2 |          4 |         13 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/classes.dart                                                 | Dart       |         10 |          0 |          5 |         15 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/constants.dart                                               | Dart       |        233 |          0 |         32 |        265 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/main.dart                                                    | Dart       |         25 |          1 |          4 |         30 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/home_page.dart                                       | Dart       |         23 |          0 |          5 |         28 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/info_page.dart                            | Dart       |        122 |         24 |          7 |        153 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/login_page.dart                           | Dart       |        205 |          1 |          6 |        212 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_screen.dart                    | Dart       |        206 |         28 |         30 |        264 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/basic_info.dart          | Dart       |        124 |         47 |          6 |        177 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/challenges_support.dart  | Dart       |        124 |          1 |          9 |        134 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/dietary_preferences.dart | Dart       |         93 |          3 |          6 |        102 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/fitness_preferences.dart | Dart       |         66 |          1 |          7 |         74 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/health_goals.dart        | Dart       |         48 |          1 |          6 |         55 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/signUp_page.dart                          | Dart       |        241 |        227 |         11 |        479 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/welcome_page.dart                         | Dart       |        101 |          0 |          4 |        105 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/widgets.dart                                                 | Dart       |        572 |          0 |         49 |        621 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/CMakeLists.txt                                             | CMake      |        104 |          0 |         25 |        129 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/CMakeLists.txt                                     | CMake      |         79 |          0 |         10 |         89 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/generated_plugin_registrant.cc                     | C++        |          3 |          4 |          5 |         12 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/generated_plugins.cmake                            | CMake      |         18 |          0 |          6 |         24 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/CMakeLists.txt                                      | CMake      |         21 |          0 |          6 |         27 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/main.cc                                             | C++        |          5 |          0 |          2 |          7 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/my_application.cc                                   | C++        |         83 |         21 |         27 |        131 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/my_application.h                                    | C++        |          7 |          7 |          5 |         19 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Flutter/GeneratedPluginRegistrant.swift                    | Swift      |          6 |          3 |          4 |         13 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Podfile                                                    | Ruby       |         33 |          1 |         10 |         44 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/AppDelegate.swift                                   | Swift      |         11 |          0 |          3 |         14 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json    | JSON       |         68 |          0 |          1 |         69 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/Base.lproj/MainMenu.xib                             | XML        |        343 |          0 |          1 |        344 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/MainFlutterWindow.swift                             | Swift      |         12 |          0 |          4 |         16 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/RunnerTests/RunnerTests.swift                              | Swift      |          7 |          2 |          4 |         13 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/pubspec.yaml                                                     | YAML       |         26 |         53 |         14 |         93 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/test/widget_test.dart                                            | Dart       |          3 |         21 |          7 |         31 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/web/index.html                                                   | HTML       |         19 |         15 |          5 |         39 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/web/manifest.json                                                | JSON       |         35 |          0 |          1 |         36 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/CMakeLists.txt                                           | CMake      |         89 |          0 |         20 |        109 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/CMakeLists.txt                                   | CMake      |         98 |          0 |         12 |        110 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/generated_plugin_registrant.cc                   | C++        |          3 |          4 |          5 |         12 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/generated_plugin_registrant.h                    | C++        |          5 |          5 |          6 |         16 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/generated_plugins.cmake                          | CMake      |         18 |          0 |          6 |         24 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/CMakeLists.txt                                    | CMake      |         34 |          0 |          7 |         41 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/flutter_window.cpp                                | C++        |         49 |          7 |         16 |         72 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/flutter_window.h                                  | C++        |         20 |          5 |          9 |         34 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/main.cpp                                          | C++        |         30 |          4 |         10 |         44 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/resource.h                                        | C++        |          9 |          6 |          2 |         17 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/utils.cpp                                         | C++        |         54 |          2 |         10 |         66 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/utils.h                                           | C++        |          8 |          6 |          6 |         20 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/win32_window.cpp                                  | C++        |        210 |         24 |         55 |        289 |
| /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/win32_window.h                                    | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                   |            |      4,188 |        646 |        582 |      5,416 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
